city,date,temperature_2m_max,temperature_2m_min,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,lat,lng,risk_wind,risk_rain,risk_temp,risk_score_total
Bouknadel,2026-09-25,25.9,20.0,0,10.7,26.3,45,34.1766,-6.6893,0,0.0,0,0.0
Cabo Bojador,2026-09-19,24.8,20.0,0,22.2,42.5,3,26.1269,-14.4992,15,0.0,0,15.0
Cabo Bojador,2026-09-20,27.5,18.9,0,26.2,47.9,1,26.1269,-14.4992,15,0.0,0,15.0
Cabo Bojador,2026-09-21,27.0,20.3,1,26.4,47.9,2,26.1269,-14.4992,15,0.3,0,15.3
Cabo Bojador,2026-09-22,26.6,20.7,2,26.9,49.0,1,26.1269,-14.4992,15,0.6,0,15.6
Cabo Bojador,2026-09-23,28.4,20.5,2,24.6,46.1,0,26.1269,-14.4992,15,0.6,0,15.6
Cabo Bojador,2026-09-24,34.1,23.5,2,30.6,51.5,1,26.1269,-14.4992,15,0.6,0,15.6
Cabo Bojador,2026-09-25,29.7,23.7,4,30.2,51.1,3,26.1269,-14.4992,15,1.2,0,16.2
Zagora,2026-09-19,33.8,25.8,8,26.6,44.6,3,30.3316,-5.8376,15,2.4,0,17.4
Zagora,2026-09-20,34.2,23.7,8,13.5,33.5,3,30.3316,-5.8376,0,2.4,0,2.4
Zagora,2026-09-21,34.3,24.2,28,15.8,25.2,80,30.3316,-5.8376,0,8.4,0,8.4
Zagora,2026-09-22,34.2,25.0,0,10.9,19.8,3,30.3316,-5.8376,0,0.0,0,0.0
Zagora,2026-09-23,33.3,24.8,0,12.0,19.8,2,30.3316,-5.8376,0,0.0,0,0.0
Zagora,2026-09-24,34.2,24.3,3,17.1,27.0,80,30.3316,-5.8376,0,0.9,0,0.9
Zagora,2026-09-25,31.6,23.3,10,12.9,24.5,80,30.3316,-5.8376,0,3.0,0,3.0
Azemmour,2026-09-19,26.9,18.9,0,16.8,31.3,45,33.2833,-8.3333,0,0.0,0,0.0
Azemmour,2026-09-20,28.2,18.9,0,13.7,25.6,45,33.2833,-8.3333,0,0.0,0,0.0
Azemmour,2026-09-21,28.5,20.6,0,14.2,27.0,45,33.2833,-8.3333,0,0.0,0,0.0
Azemmour,2026-09-22,27.0,20.2,0,13.1,24.8,45,33.2833,-8.3333,0,0.0,0,0.0
Azemmour,2026-09-23,27.5,20.0,0,12.9,24.5,45,33.2833,-8.3333,0,0.0,0,0.0
Azemmour,2026-09-24,27.2,20.1,0,12.4,25.2,45,33.2833,-8.3333,0,0.0,0,0.0
Azemmour,2026-09-25,25.3,20.1,0,11.5,24.8,3,33.2833,-8.3333,0,0.0,0,0.0
El Hajeb,2026-09-19,31.0,17.3,20,16.3,37.8,80,33.6928,-5.3711,0,6.0,0,6.0
El Hajeb,2026-09-20,32.3,19.7,0,18.0,38.2,2,33.6928,-5.3711,0,0.0,0,0.0
El Hajeb,2026-09-21,31.4,20.5,0,17.7,37.4,1,33.6928,-5.3711,0,0.0,0,0.0
El Hajeb,2026-09-22,30.3,19.2,0,18.3,37.8,0,33.6928,-5.3711,0,0.0,0,0.0
El Hajeb,2026-09-23,31.6,19.1,0,15.9,33.8,0,33.6928,-5.3711,0,0.0,0,0.0
El Hajeb,2026-09-24,32.6,19.6,0,19.5,39.2,2,33.6928,-5.3711,0,0.0,0,0.0
El Hajeb,2026-09-25,30.6,18.5,3,19.8,38.9,3,33.6928,-5.3711,0,0.9,0,0.9
Jerada,2026-09-19,27.4,16.9,60,22.4,41.0,80,34.31,-2.16,15,18.0,0,33.0
Jerada,2026-09-20,27.8,16.1,25,21.3,43.9,80,34.31,-2.16,15,7.5,0,22.5
Jerada,2026-09-21,25.0,16.1,3,23.4,43.6,45,34.31,-2.16,15,0.9,0,15.9
Jerada,2026-09-22,26.9,14.6,0,16.7,48.2,2,34.31,-2.16,15,0.0,0,15.0
Jerada,2026-09-23,29.0,16.4,0,16.3,46.4,2,34.31,-2.16,15,0.0,0,15.0
Jerada,2026-09-24,30.0,16.4,0,16.7,28.1,0,34.31,-2.16,0,0.0,0,0.0
Jerada,2026-09-25,31.4,16.6,0,21.6,42.1,3,34.31,-2.16,15,0.0,0,15.0
El Aïoun,2026-09-19,30.4,18.9,28,24.4,44.3,80,34.5726,-2.5127,15,8.4,0,23.4
El Aïoun,2026-09-20,31.2,19.0,10,22.0,37.8,45,34.5726,-2.5127,0,3.0,0,3.0
El Aïoun,2026-09-21,27.2,18.5,3,20.3,34.2,45,34.5726,-2.5127,0,0.9,0,0.9
El Aïoun,2026-09-22,29.5,13.8,0,16.1,30.6,45,34.5726,-2.5127,0,0.0,0,0.0
El Aïoun,2026-09-23,31.5,15.7,0,19.2,33.8,1,34.5726,-2.5127,0,0.0,0,0.0
El Aïoun,2026-09-24,34.4,17.7,0,17.7,28.8,1,34.5726,-2.5127,0,0.0,0,0.0
El Aïoun,2026-09-25,33.2,18.6,0,16.6,28.8,3,34.5726,-2.5127,0,0.0,0,0.0
Tameslouht,2026-09-19,35.1,20.6,10,14.7,24.1,2,31.5,-8.1,0,3.0,0,3.0
Tameslouht,2026-09-20,36.5,23.1,35,17.4,32.0,80,31.5,-8.1,0,10.5,0,10.5
Tameslouht,2026-09-21,36.7,23.4,0,22.2,35.6,3,31.5,-8.1,0,0.0,0,0.0
Tameslouht,2026-09-22,36.3,22.4,0,19.2,30.2,1,31.5,-8.1,0,0.0,0,0.0
Tameslouht,2026-09-23,36.0,19.7,0,18.6,30.2,0,31.5,-8.1,0,0.0,0,0.0
Tameslouht,2026-09-24,36.3,19.3,0,22.7,37.8,1,31.5,-8.1,0,0.0,0,0.0
Tameslouht,2026-09-25,33.6,21.8,5,21.0,34.9,3,31.5,-8.1,0,1.5,0,1.5
Sidi Yahia El Gharb,2026-09-19,36.1,17.6,0,20.8,37.1,1,34.3058,-6.3058,0,0.0,0,0.0
Sidi Yahia El Gharb,2026-09-20,38.1,22.0,0,18.6,33.8,0,34.3058,-6.3058,0,0.0,0,0.0
Sidi Yahia El Gharb,2026-09-21,37.0,19.8,0,19.1,33.5,45,34.3058,-6.3058,0,0.0,0,0.0
Sidi Yahia El Gharb,2026-09-22,36.7,21.1,0,12.0,27.4,0,34.3058,-6.3058,0,0.0,0,0.0
Sidi Yahia El Gharb,2026-09-23,34.0,17.0,0,19.1,34.9,0,34.3058,-6.3058,0,0.0,0,0.0
Sidi Yahia El Gharb,2026-09-24,33.4,18.1,0,17.6,33.1,45,34.3058,-6.3058,0,0.0,0,0.0
Sidi Yahia El Gharb,2026-09-25,29.3,19.7,3,16.6,31.7,45,34.3058,-6.3058,0,0.9,0,0.9
Chichaoua,2026-09-19,34.8,19.4,0,19.4,32.4,2,31.5333,-8.7667,0,0.0,0,0.0
Chichaoua,2026-09-20,34.4,22.0,8,22.4,36.7,2,31.5333,-8.7667,0,2.4,0,2.4
Chichaoua,2026-09-21,37.4,22.1,0,24.3,39.2,3,31.5333,-8.7667,0,0.0,0,0.0
Chichaoua,2026-09-22,37.4,20.0,0,21.2,39.2,0,31.5333,-8.7667,0,0.0,0,0.0
Chichaoua,2026-09-23,36.5,18.0,0,19.4,34.6,1,31.5333,-8.7667,0,0.0,0,0.0
Chichaoua,2026-09-24,37.0,18.6,0,19.6,36.4,3,31.5333,-8.7667,0,0.0,0,0.0
Chichaoua,2026-09-25,32.3,21.2,0,20.9,35.6,3,31.5333,-8.7667,0,0.0,0,0.0
Al ’Attawia,2026-09-19,34.4,19.4,5,14.8,27.0,3,31.83,-7.31,0,1.5,0,1.5
Al ’Attawia,2026-09-20,36.3,22.0,13,21.3,39.6,80,31.83,-7.31,0,3.9,0,3.9
Al ’Attawia,2026-09-21,35.8,21.5,0,16.5,30.2,2,31.83,-7.31,0,0.0,0,0.0
Al ’Attawia,2026-09-22,35.4,20.9,0,13.7,27.0,1,31.83,-7.31,0,0.0,0,0.0
Al ’Attawia,2026-09-23,35.6,19.0,0,14.3,27.0,0,31.83,-7.31,0,0.0,0,0.0
Al ’Attawia,2026-09-24,35.7,14.9,3,13.8,25.6,3,31.83,-7.31,0,0.9,0,0.9
Al ’Attawia,2026-09-25,32.5,17.9,12,13.4,24.1,3,31.83,-7.31,0,3.6,0,3.6
Tabount,2026-09-19,31.3,20.0,30,20.3,32.0,3,30.9014,-6.9217,0,9.0,0,9.0
Tabount,2026-09-20,31.8,19.6,28,18.0,35.6,61,30.9014,-6.9217,0,8.4,0,8.4
Tabount,2026-09-21,32.7,19.6,5,25.3,43.2,3,30.9014,-6.9217,15,1.5,0,16.5
Tabount,2026-09-22,33.9,18.6,0,34.3,56.9,1,30.9014,-6.9217,15,0.0,0,15.0
Tabount,2026-09-23,32.5,18.1,0,19.7,32.8,1,30.9014,-6.9217,0,0.0,0,0.0
Tabount,2026-09-24,32.8,15.6,0,12.7,20.9,3,30.9014,-6.9217,0,0.0,0,0.0
Tabount,2026-09-25,29.3,17.9,14,10.2,26.6,80,30.9014,-6.9217,0,4.2,0,4.2
Zaïo,2026-09-19,28.3,21.0,5,24.7,55.1,45,34.9396,-2.7334,15,1.5,0,16.5
Zaïo,2026-09-20,29.5,21.6,0,23.2,50.8,3,34.9396,-2.7334,15,0.0,0,15.0
Zaïo,2026-09-21,27.9,20.4,0,22.1,41.4,2,34.9396,-2.7334,15,0.0,0,15.0
Zaïo,2026-09-22,29.1,16.9,0,14.3,31.7,45,34.9396,-2.7334,0,0.0,0,0.0
Zaïo,2026-09-23,29.8,18.1,0,12.0,28.4,45,34.9396,-2.7334,0,0.0,0,0.0
Zaïo,2026-09-24,31.6,18.3,0,15.9,29.2,45,34.9396,-2.7334,0,0.0,0,0.0
Zaïo,2026-09-25,33.2,17.6,0,14.8,27.4,3,34.9396,-2.7334,0,0.0,0,0.0
Aguelmous,2026-09-19,31.3,18.2,8,13.0,37.8,3,33.1324,-5.8366,0,2.4,0,2.4
Aguelmous,2026-09-20,32.8,19.3,5,21.3,44.6,2,33.1324,-5.8366,15,1.5,0,16.5
Aguelmous,2026-09-21,32.0,19.7,0,20.9,43.9,2,33.1324,-5.8366,15,0.0,0,15.0
Aguelmous,2026-09-22,31.1,18.8,0,16.3,34.6,1,33.1324,-5.8366,0,0.0,0,0.0
Aguelmous,2026-09-23,31.8,18.1,0,14.9,29.9,1,33.1324,-5.8366,0,0.0,0,0.0
Aguelmous,2026-09-24,31.6,18.0,0,15.3,31.0,0,33.1324,-5.8366,0,0.0,0,0.0
Aguelmous,2026-09-25,30.4,18.6,8,16.5,36.0,3,33.1324,-5.8366,0,2.4,0,2.4
Asilah,2026-09-19,29.1,22.8,0,34.3,63.0,1,35.4667,-6.0333,30,0.0,0,30.0
Asilah,2026-09-20,30.4,24.3,0,27.2,50.4,1,35.4667,-6.0333,15,0.0,0,15.0
Asilah,2026-09-21,30.9,23.7,0,25.4,46.4,1,35.4667,-6.0333,15,0.0,0,15.0
Asilah,2026-09-22,30.6,21.9,0,18.8,36.4,0,35.4667,-6.0333,0,0.0,0,0.0
Asilah,2026-09-23,30.6,21.4,0,17.3,32.8,0,35.4667,-6.0333,0,0.0,0,0.0
Asilah,2026-09-24,34.7,21.7,0,13.3,25.9,1,35.4667,-6.0333,0,0.0,0,0.0
Asilah,2026-09-25,28.5,20.2,0,12.2,24.5,3,35.4667,-6.0333,0,0.0,0,0.0
Imzouren,2026-09-19,29.7,20.3,0,25.0,45.7,3,35.1464,-3.8506,15,0.0,0,15.0
Imzouren,2026-09-20,28.9,22.4,0,19.9,36.0,2,35.1464,-3.8506,0,0.0,0,0.0
Imzouren,2026-09-21,29.3,20.0,0,22.7,41.8,2,35.1464,-3.8506,15,0.0,0,15.0
Imzouren,2026-09-22,28.4,17.6,0,14.6,27.0,0,35.1464,-3.8506,0,0.0,0,0.0
Imzouren,2026-09-23,27.3,17.6,0,14.1,27.0,1,35.1464,-3.8506,0,0.0,0,0.0
Imzouren,2026-09-24,29.3,19.8,0,10.7,22.0,2,35.1464,-3.8506,0,0.0,0,0.0
Imzouren,2026-09-25,30.0,22.6,0,11.2,22.0,3,35.1464,-3.8506,0,0.0,0,0.0
Mediouna,2026-09-19,30.7,17.5,0,16.8,30.6,45,33.4556,-7.5208,0,0.0,0,0.0
Mediouna,2026-09-20,35.2,19.3,0,17.2,31.3,1,33.4556,-7.5208,0,0.0,0,0.0
Mediouna,2026-09-21,34.6,19.5,0,17.2,31.0,45,33.4556,-7.5208,0,0.0,0,0.0
Mediouna,2026-09-22,34.0,19.0,0,18.1,32.8,1,33.4556,-7.5208,0,0.0,0,0.0
Mediouna,2026-09-23,33.3,17.3,0,16.2,29.2,45,33.4556,-7.5208,0,0.0,0,0.0
Mediouna,2026-09-24,28.3,18.1,0,11.3,30.2,45,33.4556,-7.5208,0,0.0,0,0.0
Mediouna,2026-09-25,25.5,19.0,3,12.0,33.1,45,33.4556,-7.5208,0,0.9,0,0.9
Demnat,2026-09-19,31.7,18.3,13,14.8,30.6,2,31.7311,-7.0361,0,3.9,0,3.9
Demnat,2026-09-20,32.9,22.1,15,17.4,33.8,3,31.7311,-7.0361,0,4.5,0,4.5
Demnat,2026-09-21,32.0,20.8,0,17.7,34.2,2,31.7311,-7.0361,0,0.0,0,0.0
Demnat,2026-09-22,32.1,20.4,0,16.2,32.0,2,31.7311,-7.0361,0,0.0,0,0.0
Demnat,2026-09-23,32.5,18.0,0,16.8,32.8,0,31.7311,-7.0361,0,0.0,0,0.0
Demnat,2026-09-24,32.6,15.2,5,15.4,30.2,3,31.7311,-7.0361,0,1.5,0,1.5
Demnat,2026-09-25,29.9,16.7,14,15.8,30.2,3,31.7311,-7.0361,0,4.2,0,4.2
Aïn Taoujdat,2026-09-19,33.4,18.8,5,18.7,36.4,2,33.9333,-5.2167,0,1.5,0,1.5
Aïn Taoujdat,2026-09-20,35.1,19.3,0,14.7,28.8,0,33.9333,-5.2167,0,0.0,0,0.0
Aïn Taoujdat,2026-09-21,34.0,19.8,0,13.5,26.6,1,33.9333,-5.2167,0,0.0,0,0.0
Aïn Taoujdat,2026-09-22,32.8,18.8,0,13.1,25.2,0,33.9333,-5.2167,0,0.0,0,0.0
Aïn Taoujdat,2026-09-23,33.9,17.4,0,12.5,24.5,0,33.9333,-5.2167,0,0.0,0,0.0
Aïn Taoujdat,2026-09-24,35.6,18.7,0,17.3,33.1,2,33.9333,-5.2167,0,0.0,0,0.0
Aïn Taoujdat,2026-09-25,32.7,18.9,3,18.4,34.2,3,33.9333,-5.2167,0,0.9,0,0.9
Sidi Smai’il,2026-09-19,31.8,17.3,0,18.0,32.0,3,32.8167,-8.5,0,0.0,0,0.0
Sidi Smai’il,2026-09-20,33.3,19.8,0,14.8,26.3,2,32.8167,-8.5,0,0.0,0,0.0
Sidi Smai’il,2026-09-21,35.9,20.1,0,14.7,25.9,45,32.8167,-8.5,0,0.0,0,0.0
Sidi Smai’il,2026-09-22,33.5,18.2,0,15.0,27.4,45,32.8167,-8.5,0,0.0,0,0.0
Sidi Smai’il,2026-09-23,32.6,19.3,0,13.9,25.6,45,32.8167,-8.5,0,0.0,0,0.0
Sidi Smai’il,2026-09-24,30.8,17.7,3,15.5,28.8,45,32.8167,-8.5,0,0.9,0,0.9
Sidi Smai’il,2026-09-25,27.2,19.6,3,16.0,29.2,3,32.8167,-8.5,0,0.9,0,0.9
Moulay Bousselham,2026-09-19,30.1,18.1,0,16.4,27.7,1,34.8786,-6.2933,0,0.0,0,0.0
Moulay Bousselham,2026-09-20,33.5,21.0,0,18.7,31.3,0,34.8786,-6.2933,0,0.0,0,0.0
Moulay Bousselham,2026-09-21,30.6,20.5,0,17.7,29.5,0,34.8786,-6.2933,0,0.0,0,0.0
Moulay Bousselham,2026-09-22,30.8,19.8,0,18.7,30.6,0,34.8786,-6.2933,0,0.0,0,0.0
Moulay Bousselham,2026-09-23,31.6,17.5,0,19.9,33.5,0,34.8786,-6.2933,0,0.0,0,0.0
Moulay Bousselham,2026-09-24,30.6,18.4,0,15.1,27.0,45,34.8786,-6.2933,0,0.0,0,0.0
Moulay Bousselham,2026-09-25,26.6,19.4,0,14.1,25.6,45,34.8786,-6.2933,0,0.0,0,0.0
Mechraa Bel Ksiri,2026-09-19,37.0,19.0,0,18.4,34.9,45,34.56,-5.95,0,0.0,0,0.0
Mechraa Bel Ksiri,2026-09-20,37.8,24.6,0,22.6,41.4,0,34.56,-5.95,15,0.0,0,15.0
Mechraa Bel Ksiri,2026-09-21,37.1,24.2,0,18.8,34.9,0,34.56,-5.95,0,0.0,0,0.0
Mechraa Bel Ksiri,2026-09-22,36.7,23.5,0,18.4,35.3,0,34.56,-5.95,0,0.0,0,0.0
Mechraa Bel Ksiri,2026-09-23,36.9,22.6,0,12.7,27.7,0,34.56,-5.95,0,0.0,0,0.0
Mechraa Bel Ksiri,2026-09-24,35.2,18.3,0,16.0,31.0,45,34.56,-5.95,0,0.0,0,0.0
Mechraa Bel Ksiri,2026-09-25,30.1,19.9,3,16.6,31.3,45,34.56,-5.95,0,0.9,0,0.9
Souk et Tnine Jorf el Mellah,2026-09-19,36.9,21.0,0,23.3,42.1,1,34.4945,-5.5047,15,0.0,0,15.0
Souk et Tnine Jorf el Mellah,2026-09-20,37.4,24.6,0,20.9,38.9,0,34.4945,-5.5047,0,0.0,0,0.0
Souk et Tnine Jorf el Mellah,2026-09-21,36.5,24.6,0,17.8,33.8,1,34.4945,-5.5047,0,0.0,0,0.0
Souk et Tnine Jorf el Mellah,2026-09-22,36.1,23.2,0,16.9,33.1,0,34.4945,-5.5047,0,0.0,0,0.0
Souk et Tnine Jorf el Mellah,2026-09-23,36.7,21.8,0,10.8,23.0,0,34.4945,-5.5047,0,0.0,0,0.0
Souk et Tnine Jorf el Mellah,2026-09-24,37.1,20.0,0,15.6,27.4,2,34.4945,-5.5047,0,0.0,0,0.0
Souk et Tnine Jorf el Mellah,2026-09-25,33.1,19.5,3,16.4,32.4,45,34.4945,-5.5047,0,0.9,0,0.9
Zeghanghane,2026-09-19,26.0,22.0,18,27.1,51.5,3,35.1575,-3.0017,15,5.4,0,20.4
Zeghanghane,2026-09-20,26.8,22.5,28,26.5,54.4,3,35.1575,-3.0017,15,8.4,0,23.4
Zeghanghane,2026-09-21,26.6,21.7,3,21.1,42.5,3,35.1575,-3.0017,15,0.9,0,15.9
Zeghanghane,2026-09-22,26.7,18.1,0,21.1,42.8,2,35.1575,-3.0017,15,0.0,0,15.0
Zeghanghane,2026-09-23,26.9,19.1,0,19.0,38.9,45,35.1575,-3.0017,0,0.0,0,0.0
Zeghanghane,2026-09-24,29.1,18.9,0,17.6,32.4,45,35.1575,-3.0017,0,0.0,0,0.0
Zeghanghane,2026-09-25,31.2,18.0,0,12.4,24.1,45,35.1575,-3.0017,0,0.0,0,0.0
Oulad Barhil,2026-09-19,36.4,20.3,3,26.6,48.2,2,30.6408,-8.475,15,0.9,0,15.9
Oulad Barhil,2026-09-20,37.6,21.9,3,27.2,48.2,2,30.6408,-8.475,15,0.9,0,15.9
Oulad Barhil,2026-09-21,38.0,21.7,0,32.1,56.9,3,30.6408,-8.475,15,0.0,0,15.0
Oulad Barhil,2026-09-22,38.1,20.2,0,26.6,48.6,1,30.6408,-8.475,15,0.0,0,15.0
Oulad Barhil,2026-09-23,38.2,19.2,5,23.0,43.6,0,30.6408,-8.475,15,1.5,0,16.5
Oulad Barhil,2026-09-24,37.8,17.8,1,26.8,49.0,3,30.6408,-8.475,15,0.3,0,15.3
Oulad Barhil,2026-09-25,35.6,20.2,0,21.6,40.0,3,30.6408,-8.475,0,0.0,0,0.0
Bir Jdid,2026-09-19,27.2,18.3,0,16.9,33.8,45,33.3737,-8.0002,0,0.0,0,0.0
Bir Jdid,2026-09-20,31.0,20.0,0,15.5,31.0,45,33.3737,-8.0002,0,0.0,0,0.0
Bir Jdid,2026-09-21,29.4,20.1,0,14.8,28.8,45,33.3737,-8.0002,0,0.0,0,0.0
Bir Jdid,2026-09-22,29.1,18.6,0,15.1,29.9,45,33.3737,-8.0002,0,0.0,0,0.0
Bir Jdid,2026-09-23,29.3,19.1,0,14.2,28.4,45,33.3737,-8.0002,0,0.0,0,0.0
Bir Jdid,2026-09-24,28.6,18.4,0,14.7,28.4,45,33.3737,-8.0002,0,0.0,0,0.0
Bir Jdid,2026-09-25,25.6,19.2,0,14.5,28.4,45,33.3737,-8.0002,0,0.0,0,0.0
Bou Arfa,2026-09-19,26.1,19.0,75,17.2,31.3,80,32.531,-1.9631,0,22.5,0,22.5
Bou Arfa,2026-09-20,26.7,16.0,28,29.2,50.0,80,32.531,-1.9631,15,8.4,0,23.4
Bou Arfa,2026-09-21,26.3,15.6,0,17.6,27.7,3,32.531,-1.9631,0,0.0,0,0.0
Bou Arfa,2026-09-22,25.7,15.2,0,17.7,27.7,3,32.531,-1.9631,0,0.0,0,0.0
Bou Arfa,2026-09-23,27.0,15.3,0,14.8,25.2,2,32.531,-1.9631,0,0.0,0,0.0
Bou Arfa,2026-09-24,29.0,15.0,0,8.6,13.0,2,32.531,-1.9631,0,0.0,0,0.0
Bou Arfa,2026-09-25,29.4,16.5,3,14.2,22.7,3,32.531,-1.9631,0,0.9,0,0.9
Tahannawt,2026-09-19,32.1,18.6,18,19.2,56.2,2,31.3514,-7.9508,15,5.4,0,20.4
Tahannawt,2026-09-20,32.7,21.5,25,16.1,30.6,3,31.3514,-7.9508,0,7.5,0,7.5
Tahannawt,2026-09-21,33.2,21.5,3,17.2,33.8,3,31.3514,-7.9508,0,0.9,0,0.9
Tahannawt,2026-09-22,33.1,20.9,1,18.2,34.9,0,31.3514,-7.9508,0,0.3,0,0.3
Tahannawt,2026-09-23,32.9,18.6,0,16.1,30.6,0,31.3514,-7.9508,0,0.0,0,0.0
Tahannawt,2026-09-24,33.8,16.6,3,16.2,28.8,1,31.3514,-7.9508,0,0.9,0,0.9
Tahannawt,2026-09-25,31.3,18.6,9,17.8,29.9,3,31.3514,-7.9508,0,2.7,0,2.7
Arfoud,2026-09-19,30.3,20.8,53,24.9,39.2,80,31.4361,-4.2328,0,15.9,0,15.9
Arfoud,2026-09-20,31.1,20.2,10,15.0,37.1,3,31.4361,-4.2328,0,3.0,0,3.0
Arfoud,2026-09-21,33.9,21.1,13,13.9,23.4,3,31.4361,-4.2328,0,3.9,0,3.9
Arfoud,2026-09-22,31.5,20.3,6,15.1,23.8,3,31.4361,-4.2328,0,1.8,0,1.8
Arfoud,2026-09-23,31.7,19.1,3,12.4,20.2,1,31.4361,-4.2328,0,0.9,0,0.9
Arfoud,2026-09-24,32.1,20.3,0,7.2,11.5,2,31.4361,-4.2328,0,0.0,0,0.0
Arfoud,2026-09-25,32.1,21.1,3,12.3,22.0,3,31.4361,-4.2328,0,0.9,0,0.9
Tahla,2026-09-19,32.8,20.3,15,23.6,48.6,3,34.05,-4.42,15,4.5,0,19.5
Tahla,2026-09-20,33.1,20.7,0,21.2,42.1,1,34.05,-4.42,15,0.0,0,15.0
Tahla,2026-09-21,32.3,20.2,0,17.7,35.3,1,34.05,-4.42,0,0.0,0,0.0
Tahla,2026-09-22,31.5,17.8,0,15.3,29.5,1,34.05,-4.42,0,0.0,0,0.0
Tahla,2026-09-23,33.7,17.9,0,12.3,24.5,0,34.05,-4.42,0,0.0,0,0.0
Tahla,2026-09-24,35.0,21.2,0,13.0,25.9,1,34.05,-4.42,0,0.0,0,0.0
Tahla,2026-09-25,33.4,19.1,0,17.5,33.5,3,34.05,-4.42,0,0.0,0,0.0
Missour,2026-09-19,29.5,17.8,53,27.8,49.0,80,33.05,-3.9908,15,15.9,0,30.9
Missour,2026-09-20,30.1,16.3,15,27.3,42.5,2,33.05,-3.9908,15,4.5,0,19.5
Missour,2026-09-21,28.6,18.3,0,28.5,45.0,45,33.05,-3.9908,15,0.0,0,15.0
Missour,2026-09-22,28.7,14.5,0,21.9,32.8,1,33.05,-3.9908,0,0.0,0,0.0
Missour,2026-09-23,30.7,15.1,0,14.5,30.2,1,33.05,-3.9908,0,0.0,0,0.0
Missour,2026-09-24,33.2,17.2,0,9.4,16.2,2,33.05,-3.9908,0,0.0,0,0.0
Missour,2026-09-25,33.2,17.1,0,14.8,22.3,3,33.05,-3.9908,0,0.0,0,0.0
Sidi Lmokhtar,2026-09-19,34.0,19.3,0,15.0,25.9,2,31.57,-9.01,0,0.0,0,0.0
Sidi Lmokhtar,2026-09-20,33.9,22.0,0,18.2,31.0,2,31.57,-9.01,0,0.0,0,0.0
Sidi Lmokhtar,2026-09-21,37.0,22.1,0,19.1,29.9,3,31.57,-9.01,0,0.0,0,0.0
Sidi Lmokhtar,2026-09-22,37.3,19.7,0,19.2,32.4,0,31.57,-9.01,0,0.0,0,0.0
Sidi Lmokhtar,2026-09-23,36.6,17.4,0,16.5,27.7,1,31.57,-9.01,0,0.0,0,0.0
Sidi Lmokhtar,2026-09-24,35.4,17.0,0,23.0,38.2,3,31.57,-9.01,0,0.0,0,0.0
Sidi Lmokhtar,2026-09-25,29.8,19.2,0,21.6,38.2,3,31.57,-9.01,0,0.0,0,0.0
Douar Toulal,2026-09-19,34.5,18.8,0,13.5,30.2,2,33.8951,-5.6021,0,0.0,0,0.0
Douar Toulal,2026-09-20,35.9,20.9,0,13.2,30.2,1,33.8951,-5.6021,0,0.0,0,0.0
Douar Toulal,2026-09-21,35.3,20.3,0,13.7,31.0,0,33.8951,-5.6021,0,0.0,0,0.0
Douar Toulal,2026-09-22,33.8,19.8,0,12.9,29.9,0,33.8951,-5.6021,0,0.0,0,0.0
Douar Toulal,2026-09-23,34.3,17.6,0,14.7,33.5,0,33.8951,-5.6021,0,0.0,0,0.0
Douar Toulal,2026-09-24,35.2,20.1,0,16.8,33.1,1,33.8951,-5.6021,0,0.0,0,0.0
Douar Toulal,2026-09-25,31.7,18.6,3,19.7,37.4,3,33.8951,-5.6021,0,0.9,0,0.9
Oulad Yaïch,2026-09-19,37.2,21.3,3,14.5,28.1,3,32.4167,-6.3333,0,0.9,0,0.9
Oulad Yaïch,2026-09-20,38.3,23.5,3,15.3,31.0,3,32.4167,-6.3333,0,0.9,0,0.9
Oulad Yaïch,2026-09-21,36.9,22.8,0,14.1,26.3,3,32.4167,-6.3333,0,0.0,0,0.0
Oulad Yaïch,2026-09-22,36.5,22.9,0,11.0,20.5,2,32.4167,-6.3333,0,0.0,0,0.0
Oulad Yaïch,2026-09-23,36.8,21.6,0,10.0,19.1,0,32.4167,-6.3333,0,0.0,0,0.0
Oulad Yaïch,2026-09-24,36.1,24.8,3,17.4,32.8,1,32.4167,-6.3333,0,0.9,0,0.9
Oulad Yaïch,2026-09-25,33.7,24.1,4,10.8,25.2,3,32.4167,-6.3333,0,1.2,0,1.2
Zawyat ech Cheïkh,2026-09-19,34.9,18.5,0,16.3,34.2,2,32.6541,-5.9214,0,0.0,0,0.0
Zawyat ech Cheïkh,2026-09-20,35.8,19.4,0,14.8,32.8,2,32.6541,-5.9214,0,0.0,0,0.0
Zawyat ech Cheïkh,2026-09-21,34.7,18.8,3,20.0,38.2,2,32.6541,-5.9214,0,0.9,0,0.9
Zawyat ech Cheïkh,2026-09-22,33.9,17.8,1,13.8,25.2,2,32.6541,-5.9214,0,0.3,0,0.3
Zawyat ech Cheïkh,2026-09-23,34.2,16.6,0,12.1,23.4,0,32.6541,-5.9214,0,0.0,0,0.0
Zawyat ech Cheïkh,2026-09-24,34.8,18.5,3,15.9,29.2,1,32.6541,-5.9214,0,0.9,0,0.9
Zawyat ech Cheïkh,2026-09-25,32.7,19.3,3,12.9,24.5,3,32.6541,-5.9214,0,0.9,0,0.9
Imi-n-Tanout,2026-09-19,31.3,19.9,8,17.9,31.3,2,31.177,-8.8504,0,2.4,0,2.4
